[LOG]Added St#1 	Position(264,15009) 	 to the Quad Tree.
[LOG]Added St#277 	Position(23729,17675) 	 to the Quad Tree.
[LOG]Added St#278 	Position(24279,17693) 	 to the Quad Tree.
[LOG]Added St#279 	Position(24781,17671) 	 to the Quad Tree.
[LOG]Added St#280 	Position(257,18209) 	 to the Quad Tree.
[LOG]Added St#281 	Position(795,18213) 	 to the Quad Tree.
[LOG]Added St#282 	Position(1370,18242) 	 to the Quad Tree.
[LOG]Added St#283 	Position(1878,18229) 	 to the Quad Tree.
[LOG]Added St#284 	Position(2448,18237) 	 to the Quad Tree.
[LOG]Added St#285 	Position(2956,18227) 	 to the Quad Tree.
[LOG]Added St#286 	Position(3505,18215) 	 to the Quad Tree.
[LOG]Added St#287 	Position(4031,18229) 	 to the Quad Tree.
[LOG]Added St#288 	Position(4559,18226) 	 to the Quad Tree.
[LOG]Added St#289 	Position(5141,18234) 	 to the Quad Tree.
[LOG]Added St#290 	Position(5650,18257) 	 to the Quad Tree.
[LOG]Added St#291 	Position(6179,18235) 	 to the Quad Tree.
[LOG]Added St#292 	Position(6743,18224) 	 to the Quad Tree.
[LOG]Added St#293 	Position(7250,18225) 	 to the Quad Tree.
[LOG]Added St#294 	Position(7818,18232) 	 to the Quad Tree.
[LOG]Added St#295 	Position(8336,18214) 	 to the Quad Tree.
[LOG]Added St#296 	Position(8881,18207) 	 to the Quad Tree.
[LOG]Added St#297 	Position(9414,18238) 	 to the Quad Tree.
[LOG]Added St#298 	Position(9973,18239) 	 to the Quad Tree.
[LOG]Added St#299 	Position(10484,18248) 	 to the Quad Tree.
[LOG]Added St#300 	Position(11026,18208) 	 to the Quad Tree.
[LOG]Added St#301 	Position(11609,18232) 	 to the Quad Tree.
[LOG]Added St#302 	Position(12128,18246) 	 to the Quad Tree.
[LOG]Added St#303 	Position(12640,18219) 	 to the Quad Tree.
[LOG]Added St#304 	Position(13215,18249) 	 to the Quad Tree.
[LOG]Added St#305 	Position(13721,18217) 	 to the Quad Tree.
[LOG]Added St#306 	Position(14257,18231) 	 to the Quad Tree.
[LOG]Added St#307 	Position(14797,18256) 	 to the Quad Tree.
[LOG]Added St#308 	Position(15341,18259) 	 to the Quad Tree.
[LOG]Added St#309 	Position(15884,18227) 	 to the Quad Tree.
[LOG]Added St#310 	Position(16417,18239) 	 to the Quad Tree.
[LOG]Added St#311 	Position(16955,18239) 	 to the Quad Tree.
[LOG]Added St#312 	Position(17540,18215) 	 to the Quad Tree.
[LOG]Added St#313 	Position(18048,18244) 	 to the Quad Tree.
[LOG]Added St#314 	Position(18568,18245) 	 to the Quad Tree.
[LOG]Added St#315 	Position(19116,18215) 	 to the Quad Tree.
[LOG]Added St#316 	Position(19654,18223) 	 to the Quad Tree.
[LOG]Added St#317 	Position(20191,18254) 	 to the Quad Tree.
[LOG]Added St#318 	Position(20753,18252) 	 to the Quad Tree.
[LOG]Added St#319 	Position(21308,18246) 	 to the Quad Tree.
[LOG]Added St#320 	Position(21810,18234) 	 to the Quad Tree.
[LOG]Added St#321 	Position(22349,18249) 	 to the Quad Tree.
[LOG]Added St#322 	Position(22932,18246) 	 to the Quad Tree.
[LOG]Added St#323 	Position(23460,18224) 	 to the Quad Tree.
[LOG]Added St#324 	Position(24006,18214) 	 to the Quad Tree.
[LOG]Added St#325 	Position(24519,18255) 	 to the Quad Tree.
[LOG]Added St#326 	Position(7,18761) 	 to the Quad Tree.
[LOG]Added St#327 	Position(554,18746) 	 to the Quad Tree.
[LOG]Added St#328 	Position(1096,18785) 	 to the Quad Tree.
[LOG]Added St#329 	Position(1607,18782) 	 to the Quad Tree.
[LOG]Added St#330 	Position(2180,18782) 	 to the Quad Tree.
[LOG]Added St#331 	Position(2709,18761) 	 to the Quad Tree.
[LOG]Added St#332 	Position(3259,18750) 	 to the Quad Tree.
[LOG]Added St#333 	Position(3792,18789) 	 to the Quad Tree.
[LOG]Added St#334 	Position(4311,18782) 	 to the Quad Tree.
[LOG]Added St#335 	Position(4866,18780) 	 to the Quad Tree.
[LOG]Added St#336 	Position(5365,18760) 	 to the Quad Tree.
[LOG]Added St#337 	Position(5910,18760) 	 to the Quad Tree.
[LOG]Added St#338 	Position(6487,18789) 	 to the Quad Tree.
[LOG]Added St#339 	Position(7001,18792) 	 to the Quad Tree.
[LOG]Added St#340 	Position(7552,18757) 	 to the Quad Tree.
[LOG]Added St#341 	Position(8062,18754) 	 to the Quad Tree.
[LOG]Added St#342 	Position(8636,18758) 	 to the Quad Tree.
[LOG]Added St#343 	Position(9160,18779) 	 to the Quad Tree.
[LOG]Added St#344 	Position(9691,18749) 	 to the Quad Tree.
[LOG]Added St#345 	Position(10223,18747) 	 to the Quad Tree.
[LOG]Added St#346 	Position(10756,18789) 	 to the Quad Tree.
[LOG]Added St#347 	Position(11311,18762) 	 to the Quad Tree.
[LOG]Added St#348 	Position(11835,18791) 	 to the Quad Tree.
[LOG]Added St#349 	Position(12418,18796) 	 to the Quad Tree.
[LOG]Added St#350 	Position(12937,18775) 	 to the Quad Tree.
[LOG]Added St#351 	Position(13452,18771) 	 to the Quad Tree.
[LOG]Added St#352 	Position(13993,18762) 	 to the Quad Tree.
[LOG]Added St#353 	Position(14547,18777) 	 to the Quad Tree.
[LOG]Added St#354 	Position(15067,18797) 	 to the Quad Tree.
[LOG]Added St#355 	Position(15641,18788) 	 to the Quad Tree.
[LOG]Added St#356 	Position(16155,18755) 	 to the Quad Tree.
[LOG]Added St#357 	Position(16713,18798) 	 to the Quad Tree.
[LOG]Added St#358 	Position(17272,18779) 	 to the Quad Tree.
[LOG]Added St#359 	Position(17791,18757) 	 to the Quad Tree.
[LOG]Added St#360 	Position(18348,18765) 	 to the Quad Tree.
[LOG]Added St#361 	Position(18863,18777) 	 to the Quad Tree.
[LOG]Added St#362 	Position(19380,18798) 	 to the Quad Tree.
[LOG]Added St#363 	Position(19965,18746) 	 to the Quad Tree.
[LOG]Added St#364 	Position(20508,18774) 	 to the Quad Tree.
[LOG]Added St#365 	Position(21038,18767) 	 to the Quad Tree.
[LOG]Added St#366 	Position(21573,18779) 	 to the Quad Tree.
[LOG]Added St#367 	Position(22091,18798) 	 to the Quad Tree.
[LOG]Added St#368 	Position(22663,18761) 	 to the Quad Tree.
[LOG]Added St#369 	Position(23158,18762) 	 to the Quad Tree.
[LOG]Added St#370 	Position(23702,18777) 	 to the Quad Tree.
[LOG]Added St#371 	Position(24238,18767) 	 to the Quad Tree.
[LOG]Added St#372 	Position(24792,18779) 	 to the Quad Tree.
[LOG]Added St#373 	Position(282,19334) 	 to the Quad Tree.
[LOG]Added St#374 	Position(810,19337) 	 to the Quad Tree.
[LOG]Added St#375 	Position(1327,19309) 	 to the Quad Tree.
[LOG]Added St#376 	Position(1896,19305) 	 to the Quad Tree.
[LOG]Added St#377 	Position(2438,19293) 	 to the Quad Tree.
[LOG]Added St#378 	Position(2977,19293) 	 to the Quad Tree.
[LOG]Added St#379 	Position(3494,19322) 	 to the Quad Tree.
[LOG]Added St#380 	Position(4049,19315) 	 to the Quad Tree.
[LOG]Added St#381 	Position(4586,19297) 	 to the Quad Tree.
[LOG]Added St#382 	Position(5130,19301) 	 to the Quad Tree.
[LOG]Added St#383 	Position(5659,19302) 	 to the Quad Tree.
[LOG]Added St#384 	Position(6176,19304) 	 to the Quad Tree.
[LOG]Added St#385 	Position(6729,19327) 	 to the Quad Tree.
[LOG]Added St#386 	Position(7268,19292) 	 to the Quad Tree.
[LOG]Added St#387 	Position(7837,19311) 	 to the Quad Tree.
[LOG]Added St#388 	Position(8329,19304) 	 to the Quad Tree.
[LOG]Added St#389 	Position(8885,19297) 	 to the Quad Tree.
[LOG]Added St#390 	Position(9442,19289) 	 to the Quad Tree.
[LOG]Added St#391 	Position(9987,19330) 	 to the Quad Tree.
[LOG]Added St#392 	Position(10522,19313) 	 to the Quad Tree.
[LOG]Added St#393 	Position(11063,19299) 	 to the Quad Tree.
[LOG]Added St#394 	Position(11599,19311) 	 to the Quad Tree.
[LOG]Added St#395 	Position(12139,19295) 	 to the Quad Tree.
[LOG]Added St#396 	Position(12644,19307) 	 to the Quad Tree.
[LOG]Added St#397 	Position(13188,19320) 	 to the Quad Tree.
[LOG]Added St#398 	Position(13762,19293) 	 to the Quad Tree.
[LOG]Added St#399 	Position(14264,19289) 	 to the Quad Tree.
[LOG]Added St#400 	Position(14830,19335) 	 to the Quad Tree.
[LOG]Added St#401 	Position(15338,19285) 	 to the Quad Tree.
[LOG]Added St#402 	Position(15912,19333) 	 to the Quad Tree.
[LOG]Added St#403 	Position(16450,19321) 	 to the Quad Tree.
[LOG]Added St#404 	Position(16967,19321) 	 to the Quad Tree.
[LOG]Added St#405 	Position(17495,19296) 	 to the Quad Tree.
[LOG]Added St#406 	Position(18071,19290) 	 to the Quad Tree.
[LOG]Added St#407 	Position(18612,19334) 	 to the Quad Tree.
[LOG]Added St#408 	Position(19141,19324) 	 to the Quad Tree.
[LOG]Added St#409 	Position(19647,19314) 	 to the Quad Tree.
[LOG]Added St#410 	Position(20224,19323) 	 to the Quad Tree.
[LOG]Added St#411 	Position(20735,19310) 	 to the Quad Tree.
